id;name;model;manufacture_year;owner_id
1;San Marino model Games;compelling Maryland;2021-02-25;1
2;Towels Gorgeous Plastic Bike New Israeli Sheqel;maroon Profit-focused Haiti;2021-02-25;2
3;Right-sized;Table Nebraska;2021-02-25;3
4;Auto Loan Account Security Health;Forward Front-line non-volatile;2021-02-25;4
5;Operations;Refined Frozen Tuna;2021-02-25;5
6;web-readiness;Sleek;2021-02-25;6
7;Cambodia efficient Personal Loan Account;deposit Maryland;2021-02-25;7
8;optimize Sausages;Handmade;2021-02-24;8
9;virtual invoice;Sleek Frozen Table Fully-configurable;2021-02-25;9
10;connect leading edge synthesizing;Practical Investor experiences;2021-02-25;10
