id;name;district;population;country_id
1;aggregate;capacitor Customizab;53386;1
2;EXE;Polarised salmon;6885;2
3;COM Auto Loan Account ubiquitous;Functionality;59079;3
4;pink programming Checking Account;Designer Global;75544;4
5;Libyan Dinar Berkshire;black Operations;40360;5
6;Dynamic Lithuania IB;bleeding-edge Unbran;7668;6
7;Outdoors real-time Corporate;deposit Seychelles R;4118;7
8;Global leading-edge interactive;forecast primary;36549;8
9;Assimilated;invoice Argentine Pe;13156;9
10;Division bandwidth Chair;Auto Loan Account;54622;10
