id;code;name;continent;region;surface_area;population;life_expectancy;local_name;government_form
1;con;Division;ANTARCTICA;Somali Shilling integrate ;1001;54381;38384;Personal Loan Account;interactive
2;eve;wireless Soft;NORTH_AMERICA;even-keeled intuitive clea;65001;1029;13458;Soft back up cutting-edge;integrate
3;rec;alarm Music 4th generation;EUROPE;Sharable;96974;96580;17121;maximized transmitter;Movies Rubber
4;eng;Small invoice;ANTARCTICA;Tuna;79200;92842;71248;PCI;Small Cotton Chicken Rubber
5;Orc;Minnesota Coordinator;NORTH_AMERICA;Computers Iceland Krona Sy;9344;47818;33247;New York Solomon Islands;haptic
6;Gro;deliverables IB wireless;NORTH_AMERICA;orchid recontextualize;33161;47998;25636;deposit Guatemala Director;Jewelery
7;Key;Focused;SOUTH_AMERICA;Fantastic interface;46779;40885;97685;Customer plug-and-play;online overriding program
8;New;Bacon;SOUTH_AMERICA;Bedfordshire capacitor;95833;18847;91933;seamless National;array
9;Mou;Music;AFRICA;application Awesome;91241;43663;29692;software;Oregon Burundi Franc
10;Pra;core;NORTH_AMERICA;architect aggregate Maine;43032;53546;87024;capability back-end;Japan Mission
